"","response","fixed1.coef","fixed2.coef","int.coef","R2m","dAIC"
"mat","GPP",0.4469,3e-04,1e-04,0.6657,0.221084374270959
"mat1","NPP",0.3312,6e-04,0,0.4819,3.58070785475104
"mat2","ANPP",0.1934,-2e-04,NA,0.4524,2.44855395616969
"mat3","ANPP_woody_stem",0.0331,-4e-04,0,0.2572,3.32297023155479
"mat4","ANPP_foliage",0.0927,NA,NA,0.5826,53.1428091322544
"mat5","BNPP_root",0.1294,4e-04,0,0.3305,1.63835440970621
"mat6","BNPP_root_fine",0.0873,7e-04,0,0.1909,0.8508464391698
"mat7","R_auto",0.4499,0.0024,NA,0.7099,2.19602594120244
"mat8","R_auto_root",0.0177,-8e-04,1e-04,0.2993,0.518850283923314
