"","response.v","p.sing","p.addi","p.int"
"1","GPP",1.5e-13,8.2e-05,0.14
"2","NPP",4e-11,0.45,0.018
"3","ANPP",1e-19,0.035,0.46
"4","ANPP_woody_stem",1.9e-10,0.83,0.021
"5","ANPP_foliage",1.1e-13,0.47,0.41
"6","BNPP_root",3.3e-06,0.96,0.056
"7","BNPP_root_fine",0.0021,0.23,0.091
"8","R_auto",0.00016,0.041,0.34
"9","R_auto_root",0.0011,0.11,0.11
