SYNMAP,synform,synLPh,synLT,Koeppen,AREAkm2
9,Trees,Mixed D/E,Mixed B/N,ET,49266.90083
13,Trees & Shrubs,Evergreen,Broad,Af,695.1869455
13,Trees & Shrubs,Evergreen,Broad,Am,2381.358869
13,Trees & Shrubs,Evergreen,Broad,Aw,14240.72966
14,Trees & Shrubs,Deciduous,Broad,Am,13626.8194
14,Trees & Shrubs,Deciduous,Broad,As,3074.949516
14,Trees & Shrubs,Deciduous,Broad,Aw,551751.6554
14,Trees & Shrubs,Deciduous,Broad,BSh,17781.91103
14,Trees & Shrubs,Deciduous,Broad,Cfb,4864.681067
14,Trees & Shrubs,Deciduous,Broad,Cwa,18224.11075
14,Trees & Shrubs,Deciduous,Broad,Cwb,30097.97345
15,Trees & Shrubs,Mixed D/E,Broad,Aw,40075.16434
19,Trees & Grasses,Evergreen,Needle,Aw,3542.527561
19,Trees & Grasses,Evergreen,Needle,BSh,2667.300485
19,Trees & Grasses,Evergreen,Needle,Cfa,2539.454268
19,Trees & Grasses,Evergreen,Needle,Csa,1510.950798
19,Trees & Grasses,Evergreen,Needle,Cwb,8210.921873
19,Trees & Grasses,Evergreen,Needle,Dwc,11917.65552
22,Trees & Grasses,Evergreen,Broad,Af,11106.6365
22,Trees & Grasses,Evergreen,Broad,Am,41374.96631
22,Trees & Grasses,Evergreen,Broad,As,4348.043795
22,Trees & Grasses,Evergreen,Broad,Aw,234347.6006
22,Trees & Grasses,Evergreen,Broad,Cfa,17719.5247
22,Trees & Grasses,Evergreen,Broad,Cfb,84608.80102
22,Trees & Grasses,Evergreen,Broad,Csa,3755.32915
22,Trees & Grasses,Evergreen,Broad,Csb,801.0339655
23,Trees & Grasses,Deciduous,Broad,Am,75598.27508
23,Trees & Grasses,Deciduous,Broad,As,20304.54966
23,Trees & Grasses,Deciduous,Broad,Aw,4554619.959
23,Trees & Grasses,Deciduous,Broad,BSh,1243338.003
23,Trees & Grasses,Deciduous,Broad,BSk,371.0201296
23,Trees & Grasses,Deciduous,Broad,BWh,1964.162103
