"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"ANPP_repro","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5709,66,0.007331,0.4819,1.836
"ANPP_1","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.063e-09,170,0.2579,0.8854,6.222
"ANPP_foliage","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.616e-14,150,0.514,0.8165,4.367
"ANPP_repro","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.03491,66,0.09635,0.5016,2.352
"ANPP_1","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.02816,168,0.02959,0.8641,2.384
"ANPP_foliage","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001077,150,0.09412,0.8037,0.411
"ANPP_repro","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.938,66,0.0001475,0.4702,1.074
"ANPP_1","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.03256,168,0.08909,0.8965,2.014
"ANPP_foliage","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.144e-08,150,0.3712,0.8251,1.661
"ANPP_repro","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.08408,66,0.06437,0.5089,2.403
"ANPP_1","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0008902,170,0.107,0.8948,11.84
"ANPP_foliage","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,6.643e-09,150,0.3216,0.8199,6.94
"ANPP_repro","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.02955,66,0.1099,0.6009,4.214
"ANPP_woody","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004641,40,0.3424,0.8389,2.199
"ANPP_woody_stem","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.805e-10,269,0.1817,0.9004,1.378
"ANPP_woody_branch","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.05846,43,0.09422,0.7056,2.595
"ANPP_woody","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,7.789e-05,40,0.4182,0.8602,16.14
"ANPP_woody_stem","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001196,284,0.02884,0.8951,1.994
"ANPP_woody_branch","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.677,47,0.006866,0.6648,1.927
"ANPP_woody","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01944,59,0.1478,0.6194,1.649
"ANPP_woody_stem","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.829e-06,312,0.09968,0.8732,1.728
"ANPP_woody_branch","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.002116,74,0.1911,0.6972,3.323
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001997,59,0.2225,0.6093,2.255
"ANPP_woody_stem","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.045e-08,311,0.1516,0.8682,1.776
"ANPP_woody_branch","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0008231,74,0.1892,0.6445,1.707
"ANPP_woody","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.005249,59,0.2084,0.6195,2.04
"ANPP_woody_stem","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0001608,311,0.05971,0.8707,1.323
"ANPP_woody_branch","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01812,74,0.1031,0.6822,1.597
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.004122,59,0.2112,0.6099,2.214
"ANPP_woody_stem","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.000574,311,0.06487,0.8746,1.941
"ANPP_woody_branch","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.005675,74,0.1295,0.6709,2.329
"ANPP_woody","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.004124,59,0.1763,0.5043,2.194
"ANPP_woody_stem","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.041e-05,311,0.06594,0.8528,0.9112
"ANPP_woody_branch","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.236,74,0.02335,0.6207,1.767
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.003576,59,0.204,0.6069,2.221
"ANPP_woody_stem","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.328e-05,312,0.09287,0.8755,1.756
"ANPP_woody_branch","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.003701,74,0.1562,0.6748,2.309
"ANPP_woody","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01601,59,0.1664,0.6483,0.4789
"ANPP_woody_stem","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.458e-07,312,0.09166,0.8756,0.7065
"ANPP_woody_branch","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.03747,74,0.0982,0.6694,2.335
"ANPP_woody","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.004853,59,0.18,0.5933,1.796
"ANPP_woody_stem","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.312e-09,312,0.1878,0.8736,0.6272
"ANPP_woody_branch","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0003091,74,0.2206,0.6198,0.4535
"ANPP_woody","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.03244,59,0.1076,0.5422,0.7276
"ANPP_woody_stem","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.001941,310,0.04567,0.8463,6.924
"ANPP_woody_branch","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.7584,74,0.001646,0.6531,2.371
"ANPP_woody","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.003222,59,0.1946,0.6125,0.111
"ANPP_woody_stem","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.726e-05,310,0.1527,0.8872,11.42
"ANPP_woody_branch","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1614,74,0.03803,0.6665,1.727
"ANPP_woody","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0007834,59,0.2961,0.6313,0.6019
"ANPP_woody_stem","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.251e-06,312,0.1357,0.8795,21.27
"ANPP_woody_branch","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.03663,74,0.09719,0.6729,1.211
