"response","fixed","random","Age.filter","equation","significant"
"ANPP_foliage","stand.age","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 3.14 + stand.age x -0.77",FALSE
"ANPP_woody_branch","stand.age","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 1.49 + stand.age x -0.37",FALSE
"ANPP_woody_stem","stand.age","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 4.49 + stand.age x -1.1",FALSE
"NPP_understory","stand.age","geographic.area/plot.name",">=100 yrs","NPP_understory = -0.53 + stand.age x 0.41",FALSE
"BNPP_root","stand.age","geographic.area/plot.name",">=100 yrs","BNPP_root = 1.45 + stand.age x 0.02",FALSE
"BNPP_root_fine","stand.age","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 0.96 + stand.age x 0.26",FALSE
"BNPP_root_coarse","stand.age","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = 0.38 + stand.age x 0.07",FALSE
"R_eco","stand.age","geographic.area/plot.name",">=100 yrs","R_eco = 1.5 + stand.age x 3.53",FALSE
"R_soil","stand.age","geographic.area/plot.name",">=100 yrs","R_soil = -2.89 + stand.age x 5.48",FALSE
"R_soil_het","stand.age","geographic.area/plot.name",">=100 yrs","R_soil_het = -2.06 + stand.age x 2.77",TRUE
"NEE","leaf.type","geographic.area/plot.name",">=100 yrs","NEE = 0.16 + leaf.type x 0.75",FALSE
"GPP","leaf.type","geographic.area/plot.name",">=100 yrs","GPP = 11.71 + leaf.type x 14.76",TRUE
"NPP","leaf.type","geographic.area/plot.name",">=100 yrs","NPP = 3.84 + leaf.type x 4.21",TRUE
"ANPP","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP = 2.96 + leaf.type x 2.15",TRUE
"ANPP_woody","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP_woody = 2.09 + leaf.type x 0.63",FALSE
"ANPP_foliage","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 1.31 + leaf.type x 1.39",TRUE
"ANPP_woody_branch","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.41 + leaf.type x 0.56",TRUE
"ANPP_woody_stem","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.26 + leaf.type x 0.35",FALSE
"NPP_understory","leaf.type","geographic.area/plot.name",">=100 yrs","NPP_understory = 0.38 + leaf.type x 0.02",FALSE
"BNPP_root","leaf.type","geographic.area/plot.name",">=100 yrs","BNPP_root = 1.34 + leaf.type x 1.15",TRUE
