"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"BNPP_root_fine","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",FALSE,0.11244158730773,68,0.07127,0.3852,1.077
"GPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,1.13465038305082e-06,209,0.4909,0.9668,1.253
"NPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,1.1507280633392e-05,69,0.4203,0.803,1.247
"BNPP_root","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.15961021362545e-05,81,0.3518,0.7641,1.919
"BNPP_root_fine","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.059292956258783,68,0.06696,0.3792,2.075
"GPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,1.66174788468096e-05,209,0.45,0.9668,0.581
"NPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.56862804629804e-05,69,0.3398,0.813,0.9728
"BNPP_root","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,8.5883961512151e-07,81,0.4783,0.811,2.946
"BNPP_root_fine","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.0938371220660963,68,0.05197,0.3328,1.6
"ANPP_1","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.66770543887889e-08,95,0.3017,0.8478,1.622
"ANPP_foliage","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.05223454858796e-11,65,0.6178,0.8465,2.316
"ANPP_repro","mat","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,0.000359004920220655,27,0.437,0.773,0.7472
"ANPP_1","map","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,1.2516239079407e-05,95,0.2158,0.8742,0.1023
"ANPP_foliage","map","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,2.10457963708985e-05,71,0.3114,0.832,2.426
"ANPP_repro","map","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.00109695384556142,32,0.3808,0.9289,2.292
