"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"GPP","AnnualWetDays","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.539e-11,303,0.5209,0.8978,1.585
"NPP","AnnualWetDays","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.493e-08,95,0.5078,0.8237,2.244
"BNPP_root","AnnualWetDays","lat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.815e-08,108,0.4574,0.7762,0.5409
"BNPP_root_fine","AnnualWetDays","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.01249,93,0.1887,0.3494,0.7846
"GPP","AnnualWetDays","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.901e-13,303,0.5536,0.8956,1.898
"NPP","AnnualWetDays","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.018e-09,95,0.5757,0.8128,1.216
"BNPP_root","AnnualWetDays","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.529e-08,108,0.4761,0.7813,3.074
"BNPP_root_fine","AnnualWetDays","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.003633,93,0.2207,0.3628,0.4992
"GPP","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.997e-14,303,0.5843,0.8946,1.575
"NPP","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.248e-10,95,0.6227,0.8376,1.804
"BNPP_root","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.248e-09,108,0.5154,0.7954,0.7475
"BNPP_root_fine","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.009107,93,0.2002,0.3431,1.57
"GPP","AnnualWetDays","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.327e-13,303,0.5653,0.9004,0.4614
"NPP","AnnualWetDays","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.9e-10,95,0.6323,0.842,2.374
"BNPP_root","AnnualWetDays","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.013e-08,108,0.4803,0.8036,0.07647
"BNPP_root_fine","AnnualWetDays","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.007943,93,0.2056,0.3509,1.889
"GPP","AnnualWetDays","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.268e-08,303,0.409,0.9126,1.885
"NPP","AnnualWetDays","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.558e-06,95,0.3903,0.801,1.252
"BNPP_root","AnnualWetDays","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.179e-05,108,0.3155,0.7819,1.491
"BNPP_root_fine","AnnualWetDays","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.582,93,0.01765,0.3589,1.165
"GPP","AnnualWetDays","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.381e-11,303,0.5136,0.8951,1.708
"NPP","AnnualWetDays","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.762e-07,95,0.4683,0.8392,2.433
"BNPP_root","AnnualWetDays","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.948e-07,108,0.4155,0.7652,1.875
"BNPP_root_fine","AnnualWetDays","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.582,93,0.01765,0.3589,0.9135
"GPP","AnnualWetDays","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.08e-12,303,0.5519,0.8962,1.794
"NPP","AnnualWetDays","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.697e-08,95,0.5185,0.8117,1.537
"BNPP_root","AnnualWetDays","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.599e-10,108,0.5035,0.7929,3.692
"BNPP_root_fine","AnnualWetDays","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.003566,93,0.2279,0.3944,0.3949
"GPP","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.45e-09,303,0.4044,0.9106,1.505
"NPP","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.495e-08,95,0.525,0.8611,1.552
"BNPP_root","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.359e-07,108,0.415,0.8061,1.593
"BNPP_root_fine","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.008499,93,0.1683,0.3774,2.454
"GPP","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003306,303,0.1568,0.9268,0.5057
"NPP","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.01415,95,0.1685,0.8328,0.7884
"BNPP_root","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.005941,108,0.1422,0.769,4.345
"BNPP_root_fine","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.582,93,0.01765,0.3589,0.5254
"GPP","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.09e-10,303,0.4347,0.9057,1.931
"NPP","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.54e-08,95,0.5259,0.8235,2.185
"BNPP_root","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.589e-06,108,0.4005,0.7767,1.759
"BNPP_root_fine","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.004899,93,0.1923,0.3533,2.023
"GPP","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.073e-07,303,0.3332,0.9078,2.117
"NPP","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.501e-07,95,0.4813,0.8117,0.4672
"BNPP_root","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.994e-06,108,0.3685,0.7861,6.597
"BNPP_root_fine","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.582,93,0.01765,0.3589,0.7825
"GPP","VapourPressure","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.301e-16,279,0.6717,0.8992,0.7046
"NPP","VapourPressure","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.917e-09,82,0.529,0.8339,1.011
"BNPP_root","VapourPressure","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.204e-07,90,0.4479,0.7906,0.1679
"BNPP_root_fine","VapourPressure","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.002125,81,0.1902,0.358,0.3716
"GPP","VapourPressure","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.301e-16,279,0.6717,0.8992,0.7046
"NPP","VapourPressure","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.017e-08,81,0.5279,0.8303,2.054
"BNPP_root","VapourPressure","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.523e-10,93,0.492,0.7984,2.145
"BNPP_root_fine","VapourPressure","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.002341,80,0.1899,0.3613,1.825
"GPP","VapourPressure","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.461e-14,303,0.5523,0.8961,1.451
"NPP","VapourPressure","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,2.153
"BNPP_root","VapourPressure","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,0.3343
"GPP","VapourPressure","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.461e-14,303,0.5523,0.8961,1.451
"NPP","VapourPressure","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,2.153
"BNPP_root","VapourPressure","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.911e-16,303,0.6335,0.8919,2.114
"NPP","VapourPressure","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.435e-10,95,0.5849,0.8221,2.051
"BNPP_root","VapourPressure","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.652e-10,108,0.5142,0.7897,0.3593
"BNPP_root_fine","VapourPressure","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.683e-15,303,0.6283,0.8956,2.108
"NPP","VapourPressure","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.37e-10,95,0.6138,0.8224,2.235
"BNPP_root","VapourPressure","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.914e-10,108,0.506,0.7914,0.05398
"BNPP_root_fine","VapourPressure","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.073e-13,303,0.5991,0.8967,0.607
"NPP","VapourPressure","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,1.054
"BNPP_root","VapourPressure","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.461e-14,303,0.5523,0.8961,1.451
"NPP","VapourPressure","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,0.3533
"BNPP_root","VapourPressure","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.461e-14,303,0.5523,0.8961,1.451
"NPP","VapourPressure","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,2.153
"BNPP_root","VapourPressure","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.461e-14,303,0.5523,0.8961,1.451
"NPP","VapourPressure","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,2.153
"BNPP_root","VapourPressure","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.461e-14,303,0.5523,0.8961,1.451
"NPP","VapourPressure","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,2.153
"BNPP_root","VapourPressure","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.461e-14,303,0.5523,0.8961,0.4969
"NPP","VapourPressure","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,1.003
"BNPP_root","VapourPressure","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","VapourPressure","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.461e-14,303,0.5523,0.8961,1.451
"NPP","VapourPressure","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.735e-09,95,0.5093,0.8115,2.153
"BNPP_root","VapourPressure","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.349e-10,108,0.4764,0.7869,1.095
"BNPP_root_fine","VapourPressure","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004565,93,0.2193,0.3885,1.781
"GPP","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.456e-13,279,0.6414,0.9039,0.1942
"NPP","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,9.983e-09,82,0.5935,0.8599,1.014
"BNPP_root","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.233e-05,90,0.4227,0.7799,0.003591
"BNPP_root_fine","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01033,81,0.1409,0.381,0.8691
"GPP","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.048e-08,279,0.5051,0.9153,1.385
"NPP","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.213e-07,81,0.4005,0.9362,4.63
"BNPP_root","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.863e-07,93,0.4255,0.8392,0.4413
"BNPP_root_fine","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01113,80,0.1413,0.3858,0.8781
"GPP","SolarRadiation","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.359e-11,303,0.5206,0.8976,0.8865
"NPP","SolarRadiation","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.136e-08,95,0.5031,0.8309,0.1862
"BNPP_root","SolarRadiation","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.477e-08,108,0.438,0.7802,1.048
"BNPP_root_fine","SolarRadiation","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006795,93,0.1371,0.405,1.136
"GPP","SolarRadiation","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.721e-12,303,0.5596,0.8967,0.2145
"NPP","SolarRadiation","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.465e-08,95,0.5456,0.8222,0.2129
"BNPP_root","SolarRadiation","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.209e-08,108,0.4369,0.7765,0.934
"BNPP_root_fine","SolarRadiation","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.003547,93,0.221,0.3902,0.9163
"GPP","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.902e-14,303,0.5981,0.8983,1.675
"NPP","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.304e-10,95,0.5815,0.832,1.679
"BNPP_root","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.535e-09,108,0.4723,0.7894,2.2
"BNPP_root_fine","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006795,93,0.1371,0.405,0.04956
"GPP","SolarRadiation","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.534e-14,303,0.6106,0.9018,2.123
"NPP","SolarRadiation","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.467e-10,95,0.6229,0.8352,2
"BNPP_root","SolarRadiation","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.808e-09,108,0.4749,0.8018,2.259
"BNPP_root_fine","SolarRadiation","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.004345,93,0.2092,0.392,0.458
"GPP","SolarRadiation","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.554e-09,303,0.4677,0.907,2.088
"NPP","SolarRadiation","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.639e-07,95,0.4707,0.8092,2.138
"BNPP_root","SolarRadiation","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.163e-07,108,0.3802,0.7989,1.493
"BNPP_root_fine","SolarRadiation","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006795,93,0.1371,0.405,1.278
"GPP","SolarRadiation","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.182e-08,303,0.4595,0.9031,2.947
"NPP","SolarRadiation","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.382e-07,95,0.4691,0.8478,2.379
"BNPP_root","SolarRadiation","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.063e-07,108,0.3978,0.7531,1.188
"BNPP_root_fine","SolarRadiation","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006795,93,0.1371,0.405,1.278
"GPP","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.45e-09,303,0.4044,0.9106,1.531
"NPP","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.495e-08,95,0.525,0.8611,2.399
"BNPP_root","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.359e-07,108,0.415,0.8061,2.382
"BNPP_root_fine","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006795,93,0.1371,0.405,1.07
"GPP","SolarRadiation","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.374e-13,303,0.5473,0.8944,1.044
"NPP","SolarRadiation","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.025e-08,95,0.5307,0.8246,0.2345
"BNPP_root","SolarRadiation","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.337e-09,108,0.4781,0.7869,0.3864
"BNPP_root_fine","SolarRadiation","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.003425,93,0.2201,0.402,0.9952
"GPP","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.706e-08,303,0.4015,0.9112,2.117
"NPP","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.117e-06,95,0.3504,0.8453,0.05678
"BNPP_root","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.018e-07,108,0.3669,0.8168,0.8779
"BNPP_root_fine","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006795,93,0.1371,0.405,1.278
"GPP","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.299e-06,303,0.3401,0.9064,0.0412
"NPP","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.117e-06,95,0.3504,0.8453,1.764
"BNPP_root","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.454e-07,108,0.3672,0.7832,0.4837
"BNPP_root_fine","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006795,93,0.1371,0.405,1.278
"GPP","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.066e-07,303,0.3497,0.9069,0.04211
"NPP","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.117e-06,95,0.3504,0.8453,1.764
"BNPP_root","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.051e-07,108,0.3833,0.772,0.587
"BNPP_root_fine","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006795,93,0.1371,0.405,1.278
"GPP","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.844e-15,279,0.6906,0.9015,1.777
"NPP","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.522e-09,82,0.6082,0.8342,1.246
"BNPP_root","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.983e-06,90,0.4215,0.7768,0.7603
"BNPP_root_fine","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.03285,81,0.1705,0.3429,1.414
"GPP","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.539e-06,279,0.444,0.9213,1.959
"NPP","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.004201,81,0.2143,0.8181,0.2415
"BNPP_root","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.004738,93,0.1556,0.8169,1.433
"BNPP_root_fine","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1299,80,0.06999,0.3744,0.5213
"GPP","Aridity","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.077e-12,303,0.544,0.8994,1.825
"NPP","Aridity","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.699e-08,95,0.5062,0.8173,1.022
"BNPP_root","Aridity","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.413e-08,108,0.4434,0.7863,2.361
"BNPP_root_fine","Aridity","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.01162,93,0.1854,0.3777,2.454
"GPP","Aridity","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.521e-14,303,0.5908,0.8962,1.597
"NPP","Aridity","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.096e-09,95,0.5536,0.803,1.155
"BNPP_root","Aridity","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.466e-08,108,0.4441,0.7833,2.077
"BNPP_root_fine","Aridity","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.002754,93,0.2324,0.3953,2.418
"GPP","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.792e-16,303,0.6202,0.8933,2.084
"NPP","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.334e-09,95,0.581,0.8222,2.011
"BNPP_root","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.703e-10,108,0.4996,0.7942,2.037
"BNPP_root_fine","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.001165,93,0.2475,0.3768,2.377
"GPP","Aridity","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.997e-14,303,0.5846,0.9012,1.41
"NPP","Aridity","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.177e-09,95,0.5923,0.8236,2.163
"BNPP_root","Aridity","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.436e-09,108,0.4713,0.7891,1.724
"BNPP_root_fine","Aridity","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.001846,93,0.2384,0.3678,2.42
"GPP","Aridity","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.159e-11,303,0.488,0.9056,1.434
"NPP","Aridity","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,8.53e-08,95,0.498,0.8242,4.673
"BNPP_root","Aridity","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.357e-06,108,0.3449,0.7928,0.112
"BNPP_root_fine","Aridity","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1383,93,0.06215,0.4076,0.4074
"GPP","Aridity","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.636e-10,303,0.5132,0.9019,1.158
"NPP","Aridity","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.113e-06,95,0.4432,0.8126,1.387
"BNPP_root","Aridity","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.445e-05,108,0.3328,0.7776,2.382
"BNPP_root_fine","Aridity","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1383,93,0.06215,0.4076,0.5377
"GPP","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.0001889,303,0.2519,0.9284,2.639
"NPP","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.004985,95,0.2145,0.8262,2.559
"BNPP_root","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.003954,108,0.1432,0.8025,1.071
"BNPP_root_fine","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1383,93,0.06215,0.4076,0.5377
"GPP","Aridity","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.825e-13,303,0.5659,0.8971,2.122
