"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"BNPP_root","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,2.288
"BNPP_root_fine","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,0.4869
"NPP","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.3978
"BNPP_root","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.211e-06,90,0.4377,0.7827,0.9824
"BNPP_root_fine","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,2.33
"NPP","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,2.288
"BNPP_root_fine","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,7.499e-16,279,0.6828,0.9028,2.351
"NPP","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.758e-10,82,0.5758,0.8367,0.4754
"BNPP_root","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.671e-06,90,0.4182,0.7814,2.288
"BNPP_root_fine","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,0.003293,81,0.2145,0.3413,0.9285
"GPP","map","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.137e-14,279,0.6713,0.9029,1.526
"NPP","map","mat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,2.69
"BNPP_root","map","mat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.256e-06,89,0.4449,0.8406,6.115
"BNPP_root_fine","map","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,1.368
"GPP","map","lat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.216e-12,279,0.6306,0.9057,1.913
"NPP","map","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,5.008
"BNPP_root","map","lat","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.589e-09,93,0.492,0.8604,3.535
"BNPP_root_fine","map","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,2.033
"GPP","map","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.133e-14,279,0.6669,0.9025,0.04419
"NPP","map","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,4.949
"BNPP_root","map","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.811e-09,93,0.5055,0.8816,8.802
"BNPP_root_fine","map","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,0.4477
"GPP","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.892e-15,279,0.6724,0.8966,1.165
"NPP","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,1.482
"BNPP_root","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,3.807e-09,93,0.5331,0.8561,1.378
"BNPP_root_fine","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.006488,80,0.2146,0.3949,0.3483
"GPP","map","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.897e-13,279,0.6547,0.9059,1.241
"NPP","map","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,2.478
"BNPP_root","map","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.52e-08,93,0.4866,0.8106,0.5349
"BNPP_root_fine","map","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.006268,80,0.2151,0.4106,0.4272
"GPP","map","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.537e-08,279,0.5264,0.9135,2.013
"NPP","map","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,10.74
"BNPP_root","map","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.217e-08,93,0.3328,0.9056,8.369
"BNPP_root_fine","map","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,1.809
"GPP","map","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.614e-10,279,0.6042,0.9155,1.18
"NPP","map","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,7.058
"BNPP_root","map","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,8.841e-07,93,0.4663,0.8942,9.262
"BNPP_root_fine","map","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,2.033
"GPP","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.46e-07,279,0.4813,0.9163,1.424
"NPP","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,27.28
"BNPP_root","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001429,93,0.2871,0.7948,10.64
"BNPP_root_fine","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,2.033
"GPP","map","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,4.102e-15,279,0.6927,0.9014,1.138
"NPP","map","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,4.676
"BNPP_root","map","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,2.497e-10,93,0.5162,0.8767,6.781
"BNPP_root_fine","map","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,0.9707
"GPP","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.069e-08,279,0.5172,0.9162,0.04624
"NPP","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,10.71
"BNPP_root","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,5.788e-09,93,0.464,0.9176,7.577
"BNPP_root_fine","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,1.475
"GPP","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,7.29e-09,279,0.5092,0.9195,8.658
"NPP","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,34.9
"BNPP_root","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001429,93,0.2871,0.7948,10.06
"BNPP_root_fine","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,2.033
"GPP","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.483e-08,279,0.5292,0.9153,0.08594
"NPP","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.048e-09,81,0.4377,0.8897,14.98
"BNPP_root","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.269e-06,93,0.4065,0.8601,2.994
"BNPP_root_fine","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01088,80,0.1301,0.3917,0.8197
"GPP","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.42e-09,279,0.4847,0.9218,6.398
