"response","fixed","random","equation","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"NPP","VapourPressure","geographic.area/plot.name","NPP = -0.03 + VapourPressure x 6.03 + ( VapourPressure ^2) x -0.41","age.greater.than.100",TRUE,2.15e-08,82,0.4986,0.8291
"BNPP_root","VapourPressure","geographic.area/plot.name","BNPP_root = -0.07 + VapourPressure x 5.82 + ( VapourPressure ^2) x 0.47","age.greater.than.100",TRUE,4.108e-07,96,0.3614,0.7946
"GPP","mat","geographic.area/plot.name","GPP = 0.01 + mat x 8.51 + ( mat ^2) x 0.19","age.greater.than.200",TRUE,1.014e-05,116,0.6929,0.9677
"NPP","mat","geographic.area/plot.name","NPP = 0 + mat x 4.14 + ( mat ^2) x 1.05","age.greater.than.200",TRUE,9.208e-05,44,0.4327,0.7755
"BNPP_root","mat","geographic.area/plot.name","BNPP_root = -0.05 + mat x 3.25 + ( mat ^2) x 0.53","age.greater.than.200",TRUE,0.008782,54,0.2018,0.6389
"GPP","map","geographic.area/plot.name","GPP = 0.19 + map x 4.7 + ( map ^2) x -3.91","age.greater.than.200",TRUE,0.001041,117,0.4011,0.9655
"NPP","map","geographic.area/plot.name","NPP = 0.08 + map x 1.64 + ( map ^2) x -3.42","age.greater.than.200",TRUE,5.742e-06,44,0.2902,0.9237
"BNPP_root","map","geographic.area/plot.name","BNPP_root = 0.03 + map x 0.77 + ( map ^2) x -2.69","age.greater.than.200",TRUE,0.0372,58,0.1208,0.7457
"GPP","lat","geographic.area/plot.name","GPP = 0.06 + lat x -9.17 + ( lat ^2) x 0.75","age.greater.than.200",TRUE,3.5e-08,129,0.691,0.9692
"NPP","lat","geographic.area/plot.name","NPP = 0.09 + lat x -4.62 + ( lat ^2) x 0.91","age.greater.than.200",TRUE,0.0001786,49,0.4002,0.8132
"BNPP_root","lat","geographic.area/plot.name","BNPP_root = 0.02 + lat x -4.45 + ( lat ^2) x 0.48","age.greater.than.200",TRUE,0.0004924,64,0.2774,0.7335
"GPP","AnnualMeanTemp","geographic.area/plot.name","GPP = -0.02 + AnnualMeanTemp x 9.27 + ( AnnualMeanTemp ^2) x 1.47","age.greater.than.200",TRUE,2.316e-08,129,0.7079,0.9697
"NPP","AnnualMeanTemp","geographic.area/plot.name","NPP = -0.01 + AnnualMeanTemp x 4.31 + ( AnnualMeanTemp ^2) x 0.73","age.greater.than.200",TRUE,0.0001328,49,0.3867,0.7644
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","BNPP_root = -0.03 + AnnualMeanTemp x 4.03 + ( AnnualMeanTemp ^2) x 0.3","age.greater.than.200",TRUE,0.001287,64,0.2447,0.6589
"GPP","TempSeasonality","geographic.area/plot.name","GPP = 0.08 + TempSeasonality x -8.71 + ( TempSeasonality ^2) x 3.11","age.greater.than.200",TRUE,4.643e-10,129,0.7291,0.9679
"NPP","TempSeasonality","geographic.area/plot.name","NPP = 0.15 + TempSeasonality x -4.7 + ( TempSeasonality ^2) x 1.35","age.greater.than.200",TRUE,6.278e-05,49,0.4299,0.8208
"BNPP_root","TempSeasonality","geographic.area/plot.name","BNPP_root = 0.07 + TempSeasonality x -4.61 + ( TempSeasonality ^2) x 1.62","age.greater.than.200",TRUE,6.453e-05,64,0.3287,0.7519
"GPP","TempRangeAnnual","geographic.area/plot.name","GPP = 0.19 + TempRangeAnnual x -8.93 + ( TempRangeAnnual ^2) x 2.47","age.greater.than.200",TRUE,6.97e-11,129,0.7216,0.9685
"NPP","TempRangeAnnual","geographic.area/plot.name","NPP = 0.11 + TempRangeAnnual x -4.8 + ( TempRangeAnnual ^2) x 1.19","age.greater.than.200",TRUE,4.214e-05,49,0.4511,0.8036
"BNPP_root","TempRangeAnnual","geographic.area/plot.name","BNPP_root = 0.03 + TempRangeAnnual x -4.6 + ( TempRangeAnnual ^2) x 1.6","age.greater.than.200",TRUE,7.305e-05,64,0.3239,0.7578
"GPP","AnnualPre","geographic.area/plot.name","GPP = 0.11 + AnnualPre x 7.06 + ( AnnualPre ^2) x -3.18","age.greater.than.200",TRUE,5.218e-08,129,0.4981,0.9688
"NPP","AnnualPre","geographic.area/plot.name","NPP = -0.1 + AnnualPre x 3.21 + ( AnnualPre ^2) x 1.54","age.greater.than.200",TRUE,0.001441,49,0.2624,0.7513
"BNPP_root","AnnualPre","geographic.area/plot.name","BNPP_root = -0.03 + AnnualPre x 1.46 + ( AnnualPre ^2) x -1.48","age.greater.than.200",FALSE,0.09377,64,0.06525,0.6558
"GPP","AnnualFrostDays","geographic.area/plot.name","GPP = 0.1 + AnnualFrostDays x -7.89 + ( AnnualFrostDays ^2) x 1.77","age.greater.than.200",TRUE,4.079e-07,129,0.5894,0.9661
"NPP","AnnualFrostDays","geographic.area/plot.name","NPP = 0.03 + AnnualFrostDays x -4.37 + ( AnnualFrostDays ^2) x 0.14","age.greater.than.200",TRUE,0.0003334,49,0.3558,0.8058
"BNPP_root","AnnualFrostDays","geographic.area/plot.name","BNPP_root = -0.02 + AnnualFrostDays x -4.09 + ( AnnualFrostDays ^2) x 0.47","age.greater.than.200",TRUE,0.001371,64,0.2436,0.7009
"GPP","AnnualPET","geographic.area/plot.name","GPP = 0.14 + AnnualPET x 7.19 + ( AnnualPET ^2) x -0.98","age.greater.than.200",TRUE,0.001041,129,0.4348,0.9689
"NPP","AnnualPET","geographic.area/plot.name","NPP = 0.16 + AnnualPET x 3.59 + ( AnnualPET ^2) x -0.14","age.greater.than.200",TRUE,0.01814,49,0.2173,0.8313
"BNPP_root","AnnualPET","geographic.area/plot.name","BNPP_root = 0.05 + AnnualPET x 3.61 + ( AnnualPET ^2) x -0.03","age.greater.than.200",TRUE,0.01708,64,0.1765,0.732
"GPP","VapourPressure","geographic.area/plot.name","GPP = -0.02 + VapourPressure x 10.08 + ( VapourPressure ^2) x 0.64","age.greater.than.200",TRUE,1.627e-10,129,0.7865,0.9708
"NPP","VapourPressure","geographic.area/plot.name","NPP = -0.07 + VapourPressure x 4.71 + ( VapourPressure ^2) x 1.01","age.greater.than.200",TRUE,3.582e-05,49,0.4486,0.7886
"BNPP_root","VapourPressure","geographic.area/plot.name","BNPP_root = -0.07 + VapourPressure x 4.3 + ( VapourPressure ^2) x 0.82","age.greater.than.200",TRUE,0.0006224,64,0.2788,0.6841
"ANPP","mat","geographic.area/plot.name","ANPP = 0.19 + mat x 5.12 + ( mat ^2) x 0.15","age.greater.than.100",TRUE,2.448e-06,130,0.1874,0.9008
"ANPP_foliage","mat","geographic.area/plot.name","ANPP_foliage = 0.06 + mat x 7.01 + ( mat ^2) x 0.1","age.greater.than.100",TRUE,1.001e-10,77,0.5751,0.8793
"ANPP_woody","mat","geographic.area/plot.name","ANPP_woody = 0.13 + mat x 3.57 + ( mat ^2) x 0.63","age.greater.than.100",TRUE,0.001526,41,0.3263,0.8534
"ANPP","map","geographic.area/plot.name","ANPP = 0.22 + map x 0.79 + ( map ^2) x -1.97","age.greater.than.100",FALSE,0.09759,143,0.02968,0.8835
"ANPP_foliage","map","geographic.area/plot.name","ANPP_foliage = 0.02 + map x 2.59 + ( map ^2) x -5.29","age.greater.than.100",TRUE,1.09e-06,125,0.3011,0.8109
"ANPP_woody","map","geographic.area/plot.name","ANPP_woody = 0.19 + map x 2.66 + ( map ^2) x -2.99","age.greater.than.100",TRUE,6.906e-05,41,0.4166,0.8702
"ANPP","lat","geographic.area/plot.name","ANPP = 0.21 + lat x -6.26 + ( lat ^2) x 1.17","age.greater.than.100",TRUE,2.136e-06,170,0.1991,0.8875
"ANPP_foliage","lat","geographic.area/plot.name","ANPP_foliage = 0.06 + lat x -8.32 + ( lat ^2) x -0.53","age.greater.than.100",TRUE,2.347e-11,150,0.472,0.8016
"ANPP_woody","lat","geographic.area/plot.name","ANPP_woody = 0.15 + lat x -3.22 + ( lat ^2) x -1.05","age.greater.than.100",TRUE,0.03828,60,0.1724,0.6538
"ANPP","AnnualMeanTemp","geographic.area/plot.name","ANPP = 0.13 + AnnualMeanTemp x 5.14 + ( AnnualMeanTemp ^2) x 2.15","age.greater.than.100",TRUE,2.039e-06,169,0.1694,0.8873
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","ANPP_foliage = 0.03 + AnnualMeanTemp x 8.83 + ( AnnualMeanTemp ^2) x -0.54","age.greater.than.100",TRUE,2.186e-14,150,0.5332,0.8235
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","ANPP_woody = 0.11 + AnnualMeanTemp x 3.9 + ( AnnualMeanTemp ^2) x -0.55","age.greater.than.100",TRUE,0.006476,60,0.2385,0.6503
"ANPP","TempSeasonality","geographic.area/plot.name","ANPP = 0.22 + TempSeasonality x -5.01 + ( TempSeasonality ^2) x 0.29","age.greater.than.100",TRUE,8.689e-05,169,0.1318,0.8797
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","ANPP_foliage = 0.06 + TempSeasonality x -8.32 + ( TempSeasonality ^2) x 1.06","age.greater.than.100",TRUE,6.542e-11,150,0.4689,0.8029
"ANPP_woody","TempSeasonality","geographic.area/plot.name","ANPP_woody = 0.13 + TempSeasonality x -3.76 + ( TempSeasonality ^2) x -0.67","age.greater.than.100",TRUE,0.01577,60,0.2194,0.655
"ANPP","TempRangeAnnual","geographic.area/plot.name","ANPP = 0.21 + TempRangeAnnual x -4.53 + ( TempRangeAnnual ^2) x -1.27","age.greater.than.100",TRUE,0.0001096,169,0.1172,0.8777
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","ANPP_foliage = 0.06 + TempRangeAnnual x -8.44 + ( TempRangeAnnual ^2) x 0.8","age.greater.than.100",TRUE,1.316e-11,150,0.4923,0.7862
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","ANPP_woody = 0.13 + TempRangeAnnual x -3.79 + ( TempRangeAnnual ^2) x -0.48","age.greater.than.100",TRUE,0.01326,60,0.2225,0.6473
"ANPP","AnnualPre","geographic.area/plot.name","ANPP = 0.2 + AnnualPre x 4.38 + ( AnnualPre ^2) x 0.58","age.greater.than.100",TRUE,0.0003883,169,0.103,0.8785
"ANPP_foliage","AnnualPre","geographic.area/plot.name","ANPP_foliage = 0.09 + AnnualPre x 4.76 + ( AnnualPre ^2) x -2.27","age.greater.than.100",TRUE,2.186e-06,150,0.2203,0.7572
"ANPP_woody","AnnualPre","geographic.area/plot.name","ANPP_woody = 0.11 + AnnualPre x 3.1 + ( AnnualPre ^2) x -0.34","age.greater.than.100",TRUE,0.01559,60,0.1736,0.5352
"ANPP","AnnualFrostDays","geographic.area/plot.name","ANPP = 0.18 + AnnualFrostDays x -5.1 + ( AnnualFrostDays ^2) x 1.28","age.greater.than.100",TRUE,7.93e-05,170,0.1471,0.8808
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name","ANPP_foliage = 0.04 + AnnualFrostDays x -8.39 + ( AnnualFrostDays ^2) x -0.3","age.greater.than.100",TRUE,6.704e-13,150,0.4992,0.7904
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","ANPP_woody = 0.11 + AnnualFrostDays x -3.75 + ( AnnualFrostDays ^2) x -0.49","age.greater.than.100",TRUE,0.01121,60,0.2213,0.6402
"ANPP","AnnualPET","geographic.area/plot.name","ANPP = 0.25 + AnnualPET x 3.1 + ( AnnualPET ^2) x -0.26","age.greater.than.100",TRUE,0.02809,170,0.05068,0.8827
"ANPP_foliage","AnnualPET","geographic.area/plot.name","ANPP_foliage = 0.13 + AnnualPET x 6.11 + ( AnnualPET ^2) x 0.23","age.greater.than.100",TRUE,3.263e-06,150,0.2624,0.8067
"ANPP_woody","AnnualPET","geographic.area/plot.name","ANPP_woody = 0.16 + AnnualPET x 2.85 + ( AnnualPET ^2) x -1.48","age.greater.than.100",TRUE,0.02054,60,0.1645,0.6295
"ANPP","VapourPressure","geographic.area/plot.name","ANPP = 0.09 + VapourPressure x 6.29 + ( VapourPressure ^2) x 2.77","age.greater.than.100",TRUE,2.063e-09,170,0.2579,0.8854
"ANPP_foliage","VapourPressure","geographic.area/plot.name","ANPP_foliage = 0.03 + VapourPressure x 8.3 + ( VapourPressure ^2) x -2.15","age.greater.than.100",TRUE,5.616e-14,150,0.514,0.8165
"ANPP_woody","VapourPressure","geographic.area/plot.name","ANPP_woody = 0.05 + VapourPressure x 3.41 + ( VapourPressure ^2) x 1.17","age.greater.than.100",TRUE,0.01015,60,0.2071,0.6295
"ANPP","mat","geographic.area/plot.name","ANPP = 0.19 + mat x 5.12 + ( mat ^2) x 0.15","age.greater.than.200",TRUE,2.448e-06,130,0.1874,0.9008
"ANPP_foliage","mat","geographic.area/plot.name","ANPP_foliage = 0.08 + mat x 5.5 + ( mat ^2) x -0.11","age.greater.than.200",TRUE,2.015e-07,60,0.4497,0.8232
"ANPP_woody","mat","geographic.area/plot.name","ANPP_woody = 0.16 + mat x 2.44 + ( mat ^2) x 0.4","age.greater.than.200",TRUE,0.04679,33,0.1821,0.8203
"ANPP","map","geographic.area/plot.name","ANPP = 0.22 + map x 0.79 + ( map ^2) x -1.97","age.greater.than.200",FALSE,0.09759,143,0.02968,0.8835
"ANPP_foliage","map","geographic.area/plot.name","ANPP_foliage = -0.01 + map x -0.02 + ( map ^2) x -3.99","age.greater.than.200",TRUE,0.002534,107,0.1466,0.7298
