"response","fixed","random","Age.filter","equation","significant","additive","interactive","Rsq.R2m","Rsq.R2c"
"BNPP_root_fine","AnnualPET","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.91 + AnnualPET x 0",FALSE,FALSE,FALSE,0.03053,0.8924
"GPP","VapourPressure","geographic.area/plot.name",">=100 yrs","GPP = 4.74 + VapourPressure x 99.69",TRUE,FALSE,FALSE,0.7288,0.997
"NPP","VapourPressure","geographic.area/plot.name",">=100 yrs","NPP = 1.69 + VapourPressure x 31.97",TRUE,FALSE,FALSE,0.7387,0.9811
"BNPP_root","VapourPressure","geographic.area/plot.name",">=100 yrs","BNPP_root = -0.26 + VapourPressure x 14.17  + age x 0.56",TRUE,TRUE,FALSE,0.5221,0.9839
"BNPP_root_fine","VapourPressure","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.29 + VapourPressure x 5.61",TRUE,FALSE,FALSE,0.1803,0.8931
"GPP","Aridity","geographic.area/plot.name",">=100 yrs","GPP = 12.61 + Aridity x 0  + age x 1.44 + 0  x interaction",TRUE,FALSE,TRUE,0.3161,0.9979
"NPP","Aridity","geographic.area/plot.name",">=100 yrs","NPP = 3.07 + Aridity x 0  + age x 1 + 0  x interaction",TRUE,FALSE,TRUE,0.2612,0.9845
"BNPP_root","Aridity","geographic.area/plot.name",">=100 yrs","BNPP_root = 1.77 + Aridity x 0",FALSE,FALSE,FALSE,0.03513,0.9828
"BNPP_root_fine","Aridity","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.84 + Aridity x 0",FALSE,FALSE,FALSE,0.06553,0.8958
"GPP","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","GPP = -5.51 + PotentialEvapotranspiration x 0.02  + age x 15.69 + -0.02  x interaction",TRUE,FALSE,TRUE,0.4572,0.9973
"NPP","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","NPP = -3.42 + PotentialEvapotranspiration x 0.01  + age x 3.12 + 0  x interaction",TRUE,FALSE,TRUE,0.6582,0.9821
"BNPP_root","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","BNPP_root = -2.21 + PotentialEvapotranspiration x 0  + age x 3.51 + 0  x interaction",TRUE,FALSE,TRUE,0.3602,0.9836
"BNPP_root_fine","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 0.67 + PotentialEvapotranspiration x 0",TRUE,FALSE,FALSE,0.1367,0.8948
"GPP","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","GPP = 6.72 + VapourPressureDeficit x 28.16  + age x 6.81 + -21.68  x interaction",TRUE,FALSE,TRUE,0.3319,0.9972
"NPP","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","NPP = -0.25 + VapourPressureDeficit x 13.65  + age x 2.69 + -6.01  x interaction",TRUE,FALSE,TRUE,0.5804,0.9842
"BNPP_root","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","BNPP_root = -1.3 + VapourPressureDeficit x 6.67  + age x 2.55 + -4.93  x interaction",TRUE,FALSE,TRUE,0.4789,0.9859
"BNPP_root_fine","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 0.78 + VapourPressureDeficit x 2.87  + age x 1.53 + -3.01  x interaction",TRUE,FALSE,TRUE,0.1934,0.8926
"ANPP_1","mat","geographic.area/plot.name",">=100 yrs","ANPP_1 = 3.48 + mat x 0.12  + age x -0.74",TRUE,TRUE,FALSE,0.4251,0.9824
"ANPP_foliage","mat","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 0.77 + mat x 0.09  + age x -0.44 + 0.03  x interaction",TRUE,FALSE,TRUE,0.712,0.9869
"ANPP_1","map","geographic.area/plot.name",">=100 yrs","ANPP_1 = 5.4 + map x 0  + age x -0.47 + 0  x interaction",TRUE,FALSE,TRUE,0.3142,0.984
"ANPP_foliage","map","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 1.59 + map x 0  + age x 0.06 + 0  x interaction",TRUE,FALSE,TRUE,0.2652,0.9889
"ANPP_repro","map","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.42 + map x 0  + age x -0.16",FALSE,TRUE,FALSE,0.358,0.9966
"ANPP_1","lat","geographic.area/plot.name",">=100 yrs","ANPP_1 = 7.26 + lat x -0.06  + age x -1.32",TRUE,TRUE,FALSE,0.4888,0.9872
"ANPP_foliage","lat","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 3.48 + lat x -0.04  + age x -0.42",TRUE,TRUE,FALSE,0.5974,0.9891
"ANPP_repro","lat","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.41 + lat x 0  + age x -0.18",FALSE,TRUE,FALSE,0.3792,0.9971
"ANPP_1","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","ANPP_1 = 4.62 + AnnualMeanTemp x 0.07  + age x -1.01",TRUE,TRUE,FALSE,0.3518,0.9854
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 0.76 + AnnualMeanTemp x 0.09",TRUE,FALSE,FALSE,0.7016,0.9881
"ANPP_repro","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.29 + AnnualMeanTemp x 0  + age x -0.16",FALSE,TRUE,FALSE,0.3907,0.9969
